yyyy.MM.dd_HH:mm:ss; name; dd52; trend; 52wchp; price; 52wh; 200da; volume; value; profitP; profit; purchase; avgOpenPrice; marketPrice; profit1
2026.05.15_17:35:57; Global Hydrogen; 03,06; 1,22; 71,76; 765,90; 789,30; 627,37; 942,0; 13786,2; 27,87; 3004,4; 10781,8; 598,99; 765,90; 27,87
2026.05.15_17:35:47; Europe Momentum; 04,03; 1,05; 17,62; 15,25; 15,87; 14,49; 57109,0; 183,0; 10,77; 17,8; 165,2; 13,77; 15,25; 10,77
2026.05.15_17:36:06; Defense; 23,65; 0,94; 13,90; 52,17; 64,51; 55,26; 180439,0; 5738,7; -04,26; -255,2; 5993,9; 54,49; 52,17; -04,26
2026.05.15_17:36:11; Europe Defence; 26,53; 0,90; 02,36; 28,48; 36,03; 31,80; 396591,0; 3730,2; -10,11; -419,7; 4149,9; 31,68; 28,48; -10,11
2026.05.15_17:35:55; Poland; 04,11; 1,13; 34,91; 31,38; 32,67; 27,76; 51458,0; 4172,9; 12,59; 466,6; 3706,3; 27,87; 31,38; 12,59
2026.05.15_17:35:53; Innovators; 03,49; 1,55; 185,86; 96,05; 99,40; 61,83; 129517,0; 7011,7; 25,46; 1423,1; 5588,6; 76,56; 96,05; 25,46
2026.05.15_17:35:50; Semiconductors; 03,62; 1,47; 121,78; 107,12; 111,00; 72,92; 77963,0; 10604,9; 85,13; 4876,5; 5728,3; 57,86; 107,12; 85,13
2026.05.15_17:35:47; Euro Stoxx Banks; 07,35; 1,07; 37,29; 325,25; 349,15; 303,74; 3939,0; 5529,3; 11,55; 572,4; 4956,9; 291,58; 325,25; 11,55
2026.05.15_17:36:00; Canada; 01,31; 1,09; 28,40; 255,05; 258,40; 234,64; 4538,0; 1530,3; 11,64; 159,6; 1370,7; 228,45; 255,05; 11,64
2026.05.15_17:35:59; NASDAQ 100; 00,98; 1,18; 32,82; 1445,00; 1459,20; 1227,92; 17331,0; 10115,0; 24,68; 2002,0; 8113,0; 1159,00; 1445,00; 24,68
2026.05.15_17:36:07; UK; 06,46; 1,04; 21,23; 21,12; 22,48; 20,36; 8106,0; 844,6; 04,57; 36,9; 807,7; 20,19; 21,12; 04,57
2026.05.15_17:36:11; All-World; 01,03; 1,10; 23,20; 159,44; 161,08; 144,79; 413283,0; 15944,0; 10,44; 1507,0; 14437,0; 144,37; 159,44; 10,44
2026.05.15_17:35:56; Japan; 01,86; 1,16; 53,89; 53,17; 54,16; 45,67; 10325,0; 6380,4; 22,50; 1172,1; 5208,3; 43,40; 53,17; 22,50
2026.05.15_17:35:53; ATX; 02,39; 1,15; 38,46; 121,50; 124,40; 106,05; 4347,0; 3523,5; 09,28; 299,3; 3224,2; 111,18; 121,50; 09,28
2026.05.15_17:36:11; Spain; 04,48; 1,07; 32,15; 56,47; 59,00; 52,79; 3140,0; 3444,7; 01,13; 38,6; 3406,1; 55,84; 56,47; 01,13
