idx; yyyy.MM.dd_HH:mm:ss; symbol; name; dd52; trend; 52wchp; price; 52wh; 200da; volume
01; 2026.05.15_17:36:11; VWCE.DE; All-World; 01,03; 1,10; 23,20; 159,44; 161,08; 144,79; 413283
02; 2026.05.15_17:35:59; SXRV.DE; NASDAQ 100; 00,98; 1,18; 32,82; 1445,00; 1459,20; 1227,92; 17331
03; 2026.05.15_17:35:57; AMEE.DE; Global Hydrogen; 03,06; 1,22; 71,76; 765,90; 789,30; 627,37; 942
04; 2026.05.15_17:35:50; LSMC.DE; Semiconductors; 03,62; 1,47; 121,78; 107,12; 111,00; 72,92; 77963
05; 2026.05.15_17:36:06; DFEN.DE; Defense; 23,65; 0,94; 13,90; 52,17; 64,51; 55,26; 180439
06; 2026.05.15_17:35:56; WTIF.DE; Japan; 01,86; 1,16; 53,89; 53,17; 54,16; 45,67; 10325
07; 2026.05.15_17:36:11; EUDF.DE; Europe Defence; 26,53; 0,90; 02,36; 28,48; 36,03; 31,80; 396591
08; 2026.05.15_17:35:47; LYBK.DE; Euro Stoxx Banks; 07,35; 1,07; 37,29; 325,25; 349,15; 303,74; 3939
09; 2026.05.15_17:35:55; IBCJ.DE; Poland; 04,11; 1,13; 34,91; 31,38; 32,67; 27,76; 51458
10; 2026.05.15_17:36:00; SXR2.DE; Canada; 01,31; 1,09; 28,40; 255,05; 258,40; 234,64; 4538
11; 2026.05.15_17:36:07; UFMB.DE; UK; 06,46; 1,04; 21,23; 21,12; 22,48; 20,36; 8106
12; 2026.05.15_17:35:47; CEMR.DE; Europe Momentum; 04,03; 1,05; 17,62; 15,25; 15,87; 14,49; 57109
13; 2026.05.15_17:35:53; XB4A.DE; ATX; 02,39; 1,15; 38,46; 121,50; 124,40; 106,05; 4347
14; 2026.05.15_17:36:11; XESP.DE; Spain; 04,48; 1,07; 32,15; 56,47; 59,00; 52,79; 3140
15; 2026.05.15_17:35:53; JEDI.DE; Innovators; 03,49; 1,55; 185,86; 96,05; 99,40; 61,83; 129517
16; 2026.05.15_17:36:05; WEXE.DE; World Ex US; 02,23; 1,07; 19,44; 11,38; 11,63; 10,66; 32840
17; 2026.05.15_17:35:55; SXRW.DE; FTSE 100 UK; 05,62; 1,04; 19,81; 238,45; 251,85; 228,69; 2353
18; 2026.05.15_17:36:31; ^VIX; Strach Teraz; 95,35; 0,98; 00,12; 18,07; 35,30; 18,36; 0
19; 2026.05.14_22:00:00; ^VXIND1; Predikcia trhu; 00,00; 0,00; 00,00; 18,36; 18,36; 0,00; 0
20; 2026.05.15_17:35:23; BRNT.MI; Brent; 05,65; 1,59; 84,68; 78,87; 83,33; 49,61; 105148
