yyyy.MM.dd_HH:mm:ss;name;value;profitP;profit;purchase;avgOpenPrice;marketPrice;profit1
2026.05.06 17:54:55;Global Hydrogen;14151,6;31,25;3369,8;10781,8;599,0;786,2;31,3
2026.05.06 17:54:55;Europe Momentum;187,0;13,16;21,7;165,2;13,8;15,6;13,2
2026.05.06 17:54:55;Defense;6152,3;02,64;158,4;5993,9;54,5;55,9;2,6
2026.05.06 17:54:55;Europe Defence;4257,5;02,59;107,6;4149,9;31,7;32,5;2,6
2026.05.06 17:54:55;Poland;4262,7;15,01;556,4;3706,3;27,9;32,1;15,0
2026.05.06 17:54:55;Innovators;6242,2;11,70;653,7;5588,6;76,6;85,5;11,7
2026.05.06 17:54:55;Semiconductors;10195,0;77,98;4466,7;5728,3;57,9;103,0;78,0
2026.05.06 17:54:55;Euro Stoxx Banks;5638,1;13,74;681,2;4956,9;291,6;331,7;13,7
2026.05.06 17:54:55;Canada;1535,1;11,99;164,4;1370,7;228,5;255,9;12,0
2026.05.06 17:54:55;NASDAQ 100;9728,6;19,91;1615,6;8113,0;1159,0;1389,8;19,9
2026.05.06 17:54:55;UK;863,6;06,92;55,9;807,7;20,2;21,6;6,9
2026.05.06 17:54:55;All-World;15806,0;09,48;1369,0;14437,0;144,4;158,1;9,5
2026.05.06 17:54:55;Japan;6210,0;19,23;1001,7;5208,3;43,4;51,8;19,2
2026.05.06 17:54:55;ATX;3577,4;10,96;353,3;3224,2;111,2;123,4;11,0
2026.05.06 17:54:55;Spain;3533,7;03,75;127,7;3406,1;55,8;57,9;3,7
