yyyy.MM.dd_HH:mm:ss;name;value;profitP;profit;purchase;avgOpenPrice;marketPrice;profit1
2026.03.27 14:15:32;Global Hydrogen;12225,6;13,39;1443,8;10781,8;599,0;679,2;13,4
2026.03.27 14:15:32;Europe Momentum;168,4;01,89;3,1;165,2;13,8;14,0;1,9
2026.03.27 14:15:32;Defense;6336,0;05,71;342,1;5993,9;54,5;57,6;5,7
2026.03.27 14:15:32;Europe Defence;3447,1;-01,77;-62,1;3509,2;31,6;31,1;-1,8
2026.03.27 14:15:32;Poland;3739,3;00,89;33,0;3706,3;27,9;28,1;0,9
2026.03.27 14:15:32;Innovators;1882,4;06,80;119,8;1762,6;67,8;72,4;6,8
2026.03.27 14:15:32;Semiconductors;7320,1;27,79;1591,7;5728,3;57,9;73,9;27,8
2026.03.27 14:15:32;Euro Stoxx Banks;4934,3;-00,46;-22,6;4956,9;291,6;290,3;-0,5
2026.03.27 14:15:32;Canada;1438,8;04,97;68,1;1370,7;228,5;239,8;5,0
2026.03.27 14:15:32;NASDAQ 100;8171,8;00,72;58,8;8113,0;1159,0;1167,4;0,7
2026.03.27 14:15:32;UK;819,8;01,50;12,1;807,7;20,2;20,5;1,5
2026.03.27 14:15:32;All-World;14152,0;-01,97;-285,0;14437,0;144,4;141,5;-2,0
2026.03.27 14:15:32;Japan;5834,4;12,02;626,1;5208,3;43,4;48,6;12,0
2026.03.27 14:15:32;ATX;3110,0;-03,54;-114,2;3224,2;111,2;107,2;-3,5
2026.03.27 14:15:32;Spain;3245,8;-04,70;-160,3;3406,1;55,8;53,2;-4,7
2026.03.27 14:22:32;Global Hydrogen;12225,6;13,39;1443,8;10781,8;599,0;679,2;13,4
2026.03.27 14:22:32;Europe Momentum;168,0;01,67;2,8;165,2;13,8;14,0;1,7
2026.03.27 14:22:32;Defense;6337,1;05,73;343,2;5993,9;54,5;57,6;5,7
2026.03.27 14:22:32;Europe Defence;3436,6;-02,07;-72,7;3509,2;31,6;31,0;-2,1
2026.03.27 14:22:32;Poland;3734,0;00,75;27,7;3706,3;27,9;28,1;0,7
2026.03.27 14:22:32;Innovators;1885,5;06,97;122,9;1762,6;67,8;72,5;7,0
2026.03.27 14:22:32;Semiconductors;7304,2;27,51;1575,9;5728,3;57,9;73,8;27,5
2026.03.27 14:22:32;Euro Stoxx Banks;4912,2;-00,90;-44,7;4956,9;291,6;289,0;-0,9
2026.03.27 14:22:32;Canada;1438,8;04,97;68,1;1370,7;228,5;239,8;5,0
2026.03.27 14:22:32;NASDAQ 100;8167,6;00,67;54,6;8113,0;1159,0;1166,8;0,7
2026.03.27 14:22:32;UK;819,8;01,50;12,1;807,7;20,2;20,5;1,5
2026.03.27 14:22:32;All-World;14140,0;-02,06;-297,0;14437,0;144,4;141,4;-2,1
2026.03.27 14:22:32;Japan;5834,4;12,02;626,1;5208,3;43,4;48,6;12,0
2026.03.27 14:22:32;ATX;3110,0;-03,54;-114,2;3224,2;111,2;107,2;-3,5
